分類,guest 1,guest 2,guest 3,guest 4,guest 5,guest 6,guest 7,guest 8,guest 9,guest 10,guest 11,guest 12,guest 13,guest 14,guest 15,guest 16,guest 17,guest 18,guest 19,guest 20,guest 21,guest 22,guest 23,guest 24,guest 25,guest 26,guest 27,c_view,g_view
活動,羽庭,嘟嘟,JEAN,卡古,見證人,阿B,一支,小孟,德瑞克,KING,卡古爸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399372,4
歌曲,成語蕎,廖慧珍,曾智希,安妮,視覺,嬌嬌,逸祥,Rick,吳念軒,?覺,林欣甫,陳肇天,李先宇,藍燁,0,0,0,0,0,0,0,0,0,0,0,0,0,326385,4
遊戲,沈玉琳,Albee,孫其君,邰智源,大根,踢館魔主,于美人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607802,3
活動,曾莞婷,撒基努,周定緯,許仁傑,梁以辰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287124,5
談話性,王治平,小桃,賈培德,邵邵,建東,班班,偉凡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233487,5
遊戲,沈玉琳,Albee,孫其君,邰智源,大根,踢館魔主,KID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595222,3
遊戲,詹子晴,茵茵,張立東,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349166,4
遊戲,詹子晴,茵茵,張立東,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347046,4
談話性,Shanon,馬丁,LIL,AJ,Holly,東東,Mimi,小慢,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355091,4
歌曲,江美琪,綠茶,葉秉桓,紅,罡愷,亭恩,麗絲,李友廷,藍,郭志翔,Becca,小優,Cooper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137685,5
遊戲,沈玉琳,Albee,孫其君,邰智源,大根,踢館魔主,苦苓,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682392,3
活動,製作人,劭中,小董,樺樺,葉綺,怡菱綠茶,U0,安苡愛,依依,Tony,Chen,瑪莉亞,大根,逸祥,海產,阿虎,無尊,0,0,0,0,0,0,0,0,0,0,409512,4
夫妻,周潤德,Wendy,苦苓,馬丁,Shanon,彭華幹,Carol,威廉,飛口,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316209,4
歌曲,評審,丁曉雯,李玖哲,王治平秦宇子,IVI,世外桃源樂團,閻韋伶,小各,吳卓源,臭屁嬰仔,草屯囝仔,noovy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324102,4
遊戲,Albee,孫其君,邰智源,大根,踢館魔主,Sandy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1544293,1
活動,沈玉琳,趙正平,逸祥,梁凱莉,林進,阿虎,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217488,5
談話性,NONO,沈玉琳,梁赫群,小鍾,小馬,楊子儀,神秘嘉賓,周曉涵,Vicki,小嫻,溫嵐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612825,3
談話性,NONO,沈玉琳,梁赫群,小鍾,小馬,楊子儀,神秘嘉賓,周曉涵,Vicki,小嫻,溫嵐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449094,4
遊戲,Albee,孫其君,邰智源,大根,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658531,3
歌曲,評審,MC耀宗,沈玉琳,紅隊,ECHO,小賴,大根,安喬,阿龍,藍隊,李洛洋,斯亞,阿虎,無尊,郭子,0,0,0,0,0,0,0,0,0,0,0,0,272502,5
夫妻,被控訴人,Michael,Paul,撒基努,林秀琴,控訴人,楊皓如,咪咪,Maya,陳致遠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460731,4
歌曲,丁曉雯邵大倫,朱海君,吳俊宏,李愛綺,莊振凱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176380,5
職業,小孟,沈孟勳,王馨怡,聖元,旭秋,江柏樂,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263585,5
活動,曹西平,趙正平,以綸,宇宙,熊熊,孫其君,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317766,4
活動,評審,唐從聖山豬,阿虎,解婕翎,U0,蔡允潔,安喬,瑋哥,孫生,琳妲,Wackyboys,反骨男孩,喬瑟夫,惡魔,大?,何美,嘻小瓜,逸祥,0,0,0,0,0,0,0,0,0,795114,3
職業,夢多,詹可旬,侯羽桑,林侃諭,陳映竹,古正晴,洪萬庭,羅淼,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167772,5
活動,沈玉琳,楊繡惠,楊晨熙,梁凱莉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432678,4
歌曲,評審,畢書盡小鍾,安苡愛,王彩樺,無尊,惡魔,杜力,大女孩,海產,阿虎,逸祥,白雲,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402933,4
遊戲,宏都拉斯,陳大天,大根唐從聖,嘻小瓜,無尊,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342368,4
歌曲,王治平,二珂,旺福江宏恩,高蕾雅,阿Ben,張棋惠,黃靖倫,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206644,5
遊戲,紅隊,郭彥均,Becca,蔡允潔,阿虎,藍隊,小鍾,安苡愛,U0,Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330605,4
職業,楊大衛,思瑩,蔣嘉文,小明,丹尼斯,薯泥,劉彥鋒,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446999,4
